timestamp,speed,yaw_rate,v_front_left,v_front_right,v_rear_left,v_rear_right
1669243040.2038,8.83,-0.008,8.9,8.91,8.87,8.87
1669243040.2438,8.92,-0.008,9.01,9.01,8.86,8.91
1669243040.2838,8.92,-0.008,9.0,9.01,8.97,8.98
1669243040.3238,8.96,-0.008,9.08,9.08,9.0,9.06
1669243040.3638,9.02,-0.008,9.21,9.18,9.06,9.06
1669243040.4037,9.1,-0.008,9.2,9.21,9.16,9.15
1669243040.4438,9.18,-0.008,9.26,9.29,9.23,9.26
1669243040.4837,9.18,-0.008,9.37,9.34,9.24,9.26
1669243040.5238,9.27,-0.008,9.38,9.39,9.32,9.33
1669243040.5638,9.33,-0.008,9.46,9.43,9.4,9.41
1669243040.6038,9.41,-0.008,9.55,9.54,9.43,9.41
1669243040.6438,9.46,-0.008,9.56,9.6,9.52,9.47
1669243040.6837,9.46,-0.008,9.64,9.66,9.55,9.55
1669243040.7237,9.53,-0.008,9.71,9.69,9.59,9.6
1669243040.7639,9.63,-0.008,9.77,9.76,9.7,9.69
1669243040.8058,9.72,-0.008,9.86,9.86,9.78,9.76
1669243042.8438,13.07,-0.008,13.18,13.2,13.08,13.05
1669243042.8838,13.07,-0.008,13.27,13.24,13.11,13.13
1669243042.9239,13.16,-0.008,13.36,13.33,13.19,13.21
1669243042.9638,13.23,-0.008,13.36,13.4,13.26,13.21
1669243043.0038,13.3,-0.008,13.43,13.47,13.28,13.31
1669243043.0437,13.36,-0.008,13.53,13.48,13.36,13.38
1669243043.0837,13.36,-0.008,13.58,13.58,13.51,13.5
1669243043.1238,13.46,-0.008,13.6,13.61,13.51,13.46
1669243043.1637,13.51,-0.008,13.7,13.69,13.54,13.55
1669243043.204,13.6,-0.008,13.77,13.74,13.6,13.66
1669243043.2438,13.69,-0.004,13.83,13.81,13.71,13.71
1669243043.2838,13.69,0.0,13.9,13.95,13.75,13.68
1669243043.3237,13.76,-0.004,13.96,13.96,13.8,13.81
1669243043.3638,13.83,-0.004,14.0,13.98,13.87,13.83
1669243043.4038,13.93,-0.004,14.03,14.08,13.98,13.88
1669243043.4439,13.98,-0.004,14.1,14.13,14.01,14.03
1669243043.4837,13.98,0.0,14.15,14.16,14.03,14.07
1669243043.5238,14.05,0.0,14.26,14.26,14.13,14.03
1669243043.5637,14.12,0.0,14.26,14.31,14.13,14.21
1669243043.6037,14.19,0.0,14.34,14.35,14.26,14.17
1669243043.6437,14.27,0.0,14.41,14.4,14.26,14.32
1669243043.6837,14.27,0.0,14.49,14.5,14.37,14.36
1669243043.7238,14.36,0.0,14.56,14.6,14.41,14.43
1669243043.7638,14.46,0.0,14.63,14.6,14.4,14.43
1669243043.8037,14.52,0.0,14.72,14.71,14.53,14.56
1669243043.8438,14.63,0.0,14.76,14.78,14.6,14.57
1669243043.8837,14.63,0.0,14.8,14.81,14.65,14.68
1669243043.9237,14.66,0.0,14.91,14.86,14.71,14.75
1669243043.9638,14.75,0.0,14.97,14.99,14.83,14.83
1669243044.0037,14.83,0.0,14.98,15.02,14.88,14.88
1669243044.0438,14.96,0.0,15.14,15.07,14.93,14.95
1669243044.0837,14.96,0.004,15.09,15.17,14.98,15.04
1669243044.1238,15.02,0.004,15.14,15.19,15.08,15.08
1669243044.1638,15.16,0.0,15.23,15.08,15.08,15.17
1669243044.2038,15.17,0.0,15.39,15.41,15.18,15.18
1669243044.2438,15.15,-0.004,15.29,15.3,15.36,15.27
1669243044.2838,15.15,-0.008,15.5,15.47,15.16,15.26
1669243044.3238,15.34,-0.008,15.56,15.51,15.39,15.45
1669243044.3638,15.41,0.0,15.56,15.59,15.4,15.18
1669243044.4037,15.46,0.004,15.68,15.71,15.45,15.69
1669243044.4439,15.58,0.004,15.74,15.71,15.43,15.36
1669243044.4837,15.58,0.0,15.76,15.74,15.61,15.63
1669243044.5238,15.61,-0.004,15.83,15.85,15.71,15.74
1669243044.5637,15.7,-0.004,15.89,15.86,15.73,15.75
1669243044.6039,15.71,-0.008,15.93,15.89,15.76,15.85
1669243044.6442,15.79,-0.008,15.98,16.03,15.91,15.9
1669243044.6837,15.79,-0.012,16.04,15.98,15.95,15.91
1669243044.7238,15.9,-0.012,16.06,16.03,15.96,16.02
1669243044.7638,15.97,-0.016,16.13,16.19,16.11,16.03
1669243044.8038,16.04,-0.016,16.19,16.15,16.11,16.13
1669243044.8438,16.16,-0.012,16.33,16.29,16.06,16.2
1669243044.8837,16.16,-0.012,16.31,16.34,16.3,16.31
1669243044.9238,16.2,-0.012,16.43,16.44,16.16,16.09
1669243044.9638,16.3,-0.012,16.52,16.46,16.3,16.35
1669243045.0038,16.38,-0.012,16.53,16.56,16.36,16.28
1669243045.0438,16.43,-0.012,16.6,16.6,16.5,16.48
1669243045.086,16.43,-0.012,16.64,16.6,16.48,16.51
1669243045.1237,16.46,-0.012,16.66,16.68,16.58,16.62
1669243045.1637,16.51,-0.012,16.72,16.75,16.67,16.66
1669243045.2037,16.58,-0.008,16.78,16.73,16.69,16.72
1669243045.244,16.66,-0.012,16.82,16.83,16.78,16.77
1669243045.2838,16.66,-0.012,16.89,16.91,16.81,16.78
1669243045.3283,16.79,-0.012,17.01,17.01,16.88,16.95
1669243045.3638,16.79,-0.012,17.01,17.01,16.88,16.95
1669243045.4038,16.9,-0.012,17.05,17.08,16.99,16.96
1669243045.4438,16.96,-0.012,17.13,17.12,16.93,17.0
1669243045.4838,16.96,-0.012,17.18,17.18,17.06,17.05
1669243045.5238,17.03,-0.012,17.24,17.26,17.13,17.1
1669243045.5637,17.1,-0.012,17.3,17.26,17.13,17.13
1669243045.6141,17.22,-0.012,17.38,17.4,17.28,17.26
1669243045.6437,17.22,-0.012,17.38,17.4,17.28,17.26
1669243045.6837,17.22,-0.008,17.46,17.41,17.3,17.32
1669243045.7237,17.28,-0.008,17.5,17.5,17.4,17.41
1669243045.7644,17.33,-0.008,17.5,17.55,17.43,17.38
1669243045.8037,17.4,-0.008,17.61,17.56,17.44,17.47
1669243045.8437,17.48,-0.008,17.64,17.68,17.53,17.56
1669243045.8838,17.48,-0.008,17.66,17.68,17.59,17.61
1669243045.9237,17.51,-0.004,17.76,17.71,17.61,17.59
1669243045.9637,17.57,-0.004,17.76,17.8,17.69,17.71
1669243046.0037,17.61,-0.004,17.8,17.85,17.73,17.7
1669243046.0437,17.71,-0.004,17.9,17.86,17.75,17.82
1669243046.086,17.71,-0.004,17.9,17.93,17.86,17.81
1669243046.1237,17.76,-0.004,17.95,17.93,17.87,17.88
1669243046.1638,17.81,-0.004,18.03,18.05,17.91,17.94
1669243046.2038,17.9,0.0,18.05,18.06,17.97,18.01
1669243046.2438,17.96,0.0,18.13,18.13,17.96,18.03
1669243046.2838,17.96,0.004,18.24,18.23,17.96,18.16
1669243046.3238,18.06,0.004,18.19,18.26,18.08,17.93
