timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,conf_gyro,conf_acc
1669243042.2504,-0.0185005,-0.0101229,-0.0034907,1.8100001,-0.018,9.6620007,0.9937859778408511,0.9714571887346168
1669243042.2604,-0.018675,-0.0130027,-0.0034907,1.7820001,0.128,9.9120007,0.9864063258267524,0.945538847294922
1669243042.2704,-0.0171915,-0.0099484,-0.0046251,1.7120001,0.032,9.9320002,0.9848525977535831,0.9760501339592836
1669243042.2804,-0.0209439,-0.01213,-0.0050615,1.6480001,0.238,9.8700008,0.9716474668653189,0.9868767322497048
1669243042.2904,-0.0232129,-0.0144862,-0.0054978,1.7340001,0.058,10.0040007,0.9774729457394844,0.993438431740699
1669243042.3004,-0.0244346,-0.0150971,-0.0047124,1.8040001,0.066,9.6940002,0.9953392608472563,0.9619427269332693
1669243042.3104,-0.0231256,-0.0191986,-0.0063705,1.9640001,0.022,9.7420006,0.9801918586008395,0.9730974372647773
1669243042.3206,-0.0274889,-0.0172788,-0.0059341,1.7240001,-0.02,9.8580008,0.991067064979496,0.9793310411186466
1669243042.3304,-0.0254818,-0.019984,-0.0067195,1.6300001,0.114,9.9860001,0.9933974345558678,0.979003043905292
1669243042.3404,-0.0257436,-0.0195477,-0.0066323,1.6600001,0.08,10.2560005,0.998835260278578,0.956365396373458
1669243042.3504,-0.0216421,-0.019635,-0.0060214,1.8420001,0.084,10.0800009,0.9794152170976369,0.9983595382183379
1669243042.3604,-0.0166679,-0.0218166,-0.0032289,1.8280001,0.054,10.1400003,0.9751425761631126,0.9973754645584649
1669243042.3704,-0.0205076,-0.0215548,-0.0059341,1.8280001,0.042,10.1600008,0.9720360101503022,0.998687601047539
1669243042.3804,-0.0178896,-0.0243473,-0.0055851,1.6020001,-0.018,10.0720005,0.9992233584967974,0.9445545603835473
1669243042.3904,-0.0178896,-0.0256563,-0.0047124,1.6660001,-0.002,10.2340002,0.9980581737086115,0.9655517297297571
1669243042.4005,-0.0159698,-0.0254818,-0.0053233,1.8240001,-0.006,10.1240005,0.9933978796226318,0.9914698907258742
1669243042.4104,-0.018675,-0.0255691,-0.005236,1.8360001,-0.01,9.6620007,0.9879600538999216,0.9268383638125474
1669243042.4204,-0.0175406,-0.0282743,-0.0045379,1.8000001,-0.042,9.9860001,0.996115902350459,0.9475074211176704
1669243042.4304,-0.0156207,-0.0286234,-0.0034907,1.6880001,-0.144,10.434001,0.9883481521181409,0.9281505003016214
1669243042.4404,-0.0164934,-0.0289725,-0.0047997,1.6380001,-0.012,10.3060007,0.9887362503363601,0.9491476696478311
1669243042.4504,-0.0177151,-0.0295833,-0.0040143,1.72,0.08,10.1900005,0.9953397059140203,0.9944227022481118
1669243042.4606,-0.0169297,-0.0279253,-0.0040143,1.858,-0.058,10.1520004,0.9891252386881075,0.9872049263105999
1669243042.4704,-0.0139626,-0.0269653,-0.0015708,1.7240001,-0.078,9.7380009,0.9716465767317908,0.9133871808687057
1669243042.4804,-0.0137881,-0.027838,-0.0037525,1.8200001,-0.252,9.6200008,0.9871825222631909,0.9750659946835645
1669243042.4904,-0.0132645,-0.0258309,-0.003927,1.7980001,-0.07,9.684,0.9895133369063268,0.977034322446888
1669243042.5004,-0.0138754,-0.0251327,-0.0040143,1.6120001,-0.008,9.8480005,1.0,0.9862207542269573
1669243042.5104,-0.0193732,-0.0281871,-0,1.6300001,0.12,10.1220007,0.9673748259307945,0.9337279620931264
1669243042.5204,-0.0169297,-0.0253073,-0.0034034,1.9100001,-0.078,10.1520004,0.9790266738126535,0.9560374319680263
1669243042.5305,-0.0128282,-0.0228638,-0.0015708,1.784,0.014,9.7720003,0.9627140867780508,0.9064973857405869
1669243042.5404,-0.0111701,-0.0207694,-0.0041888,1.8920001,0.044,9.9500008,0.994950717562273,0.9481633827364571
1669243042.5504,-0.0097738,-0.019635,-0.0040143,1.6600001,-0.058,9.9980001,0.9879600538999216,0.9721131503534032
1669243042.5604,-0.0068068,-0.0189368,-0.0058469,1.6940001,-0.032,9.9920006,0.9918437064826986,0.9996718387470284
1669243042.5704,-0.0098611,-0.0146608,-0.0041888,1.682,-0.104,9.9660006,0.9871829673299549,0.994422669440189
1669243042.5804,-0.0040143,-0.0124791,-0.0043633,1.8740001,-0.042,9.9420004,0.9650444563544227,0.9826118170463162
1669243042.5904,-0.0040143,-0.0080285,-0.0050615,1.8420001,0.01,9.9640007,0.9832993147471779,0.9931103853154595
1669243042.6004,-0.0068068,-0.0066323,-0.0060214,1.7640001,0.024,10.0280008,0.9895133369063268,0.9999999835960385
1669243042.6105,-0.0055851,-0.0024435,-0.0043633,1.6120001,-0.082,10.0100002,0.9685400107189804,0.9816274645190955
1669243042.6205,-0.006545,-0.0017453,-0.0051487,1.582,-0.036,9.9980001,0.9953397059140203,0.9855644809328994
1669243042.6304,-0.0064577,-0.0003491,-0.0054105,1.9240001,-0.044,10.0960007,0.9945626193440538,0.9265101369437295
1669243042.6404,-0.0094248,0.0009599,-0.0048869,1.886,-0.158,10.0180006,0.9864063258267524,0.9996718879589139
1669243042.6504,-0.0120428,0.0013963,-0.0063705,1.8060001,-0.138,9.7920008,0.9798028702490922,0.9465231342062961
1669243042.6604,-0.0118682,0.0020071,-0.0053233,1.6720001,0.088,10.0680008,0.9972806420718808,0.9849083552744966
1669243042.6704,-0.0084648,0.0043633,-0.0045379,1.6680001,0.03,10.052,0.9918437064826986,0.987204778674945
1669243042.6804,0.0020944,0.0019199,-0.0025307,1.8660001,0.02,10.0780001,0.9518393254661583,0.9648955056475841
1669243042.6904,0.0006981,0.0007854,-0.0047997,2.0040002,-0.004,10.1740007,0.998834815211814,0.9642392487574882
1669243042.7004,0.0017453,0.0017453,-0.0019199,1.848,-0.204,9.5720005,0.996115902350459,0.9084658283316422
1669243042.7104,-0.0003491,-0.0027925,-0.0037525,1.794,-0.028,9.5420008,0.9933969894891038,0.9573497489006793
1669243042.7204,-0.007854,-0.0015708,-0.0031416,1.7300001,-0.146,9.6120005,0.9747544779448932,0.9796591203518095
1669243042.7304,-0.0133518,-0.0059341,-0.0025307,1.72,-0.032,9.8980007,0.9588304341952738,0.9734255657098254
1669243042.7404,-0.0120428,-0.0070686,-0.0034907,1.8520001,-0.102,9.8360004,0.9965040005686783,0.9770344864865051
1669243042.7504,-0.0111701,-0.0076794,-0.0034034,1.8280001,0.022,9.6940002,0.9984458268600668,0.9596462215130128
1669243042.7604,-0.0089012,-0.0080285,-0.0051487,1.8360001,0.02,9.4980001,0.9992233584967973,0.9688324564455417
1669243042.7704,-0.0084648,-0.0111701,-0.0036652,1.7980001,0.06,9.7380009,0.9945626193440538,0.9603022815555691
1669243042.7804,-0.0022689,-0.0137008,-0.0046251,1.774,-0.096,10.0700006,0.9879596088331576,0.9435704375117894
1669243042.7905,-0.0019199,-0.0128282,-0.0029671,1.8000001,0.068,10.0900002,0.987183857463483,0.997047336113417
1669243042.8004,-0.0003491,-0.015708,-0.0035779,1.8440001,-0.124,9.6860008,0.9914556082644793,0.9501320549829754
1669243042.8104,-0.0068068,-0.0179769,-0.0057596,1.9580001,0.094,9.5300007,0.9514507821811751,0.9881891312021659
1669243042.8205,-0.0067195,-0.0159698,-0.0031416,1.766,-0.036,9.0480003,0.9790266738126536,0.8799229186424893
1669243042.8304,-0.0099484,-0.0195477,-0.0045379,1.868,-0.046,9.2180004,0.9634907282812535,0.9537408117200383
1669243042.8404,-0.0090757,-0.017017,-0.0036652,1.5880001,-0.032,9.4620008,0.9809685001040421,0.9917981011907305
1669243042.8504,-0.0165806,-0.0198968,-0.0036652,1.8160001,0.124,10.0640001,0.9537811517575469,0.8487555883395326
1669243042.8605,-0.0234747,-0.014399,-0.0034907,1.7620001,-0.014,9.7720003,0.9945621742772898,0.9251979676467315
1669243042.8704,-0.0230383,-0.0153589,-0.0023562,1.9200001,0.05,9.4820004,0.9972806420718808,0.984252213212132
1669243042.8804,-0.0178024,-0.008203,-0.0031416,1.812,-0.078,9.3440008,0.9483437711016006,0.9642394127971047
1669243042.8905,-0.0111701,-0.0048869,-0.0028798,1.7180001,0.05,9.5080004,0.9545577932607494,0.9931103853154595
1669243042.9004,-0.0135263,-0.0047124,-0.0041888,1.738,-0.16,9.9040003,0.9844640544685999,0.9137151944860225
1669243042.9104,-0.0130027,-0.0006981,-0.005236,1.7420001,0.06,9.9100008,0.9844640544685999,0.9852365329314298
1669243042.9204,-0.0180642,-0.0009599,-0.0035779,1.7420001,0.058,10.0280008,0.9836874129653973,0.9809714044765393
1669243042.9304,-0.0226893,0.0047124,-0.0034907,1.7440001,-0.028,9.8100004,0.9631021849962701,0.9596461887050894
1669243042.9404,-0.0218166,0.0042761,-0.0011345,1.784,0.044,9.6380005,0.9836874129653972,0.980971404476539
1669243042.9504,-0.0234747,0.0070686,-0.0023562,1.9100001,-0.142,9.8700008,0.9747544779448932,0.9251978692229615
1669243042.9604,-0.0172788,0.0125664,-0.0023562,1.7820001,0.048,9.4760008,0.9968929889204255,0.8989515961857584
1669243042.9704,-0.0188496,0.0116064,-0.0019199,1.6320001,0.144,9.5100002,0.9992233584967974,0.9967191092445989
1669243042.9804,-0.0133518,0.0118682,-0.0027925,1.802,-0.082,9.7660007,0.9805799568190589,0.9402895139484653
1669243042.9904,-0.0049742,0.0143117,-0.0022689,1.8620001,-0.104,9.9760008,0.9712589235803355,0.9521003991502609
1669243043.0005,-0.0048869,0.0171042,-0.0020071,1.702,-0.106,10.1420002,0.9891252386881075,0.9986877978950791
1669243043.0104,-0.0054978,0.0197222,-0.0019199,1.5320001,-0.064,10.1920004,0.9860173374750051,0.973425631325672
1669243043.0204,-0.0114319,0.0191114,-0.0041888,1.682,-0.154,9.8320007,0.9662096411426085,0.9803152788181363
1669243043.0304,-0.0185005,0.0189368,-0.0022689,1.9580001,-0.072,9.6520004,0.9778619340912317,0.9977034781757814
1669243043.0404,-0.0226893,0.0152716,-0.0027925,1.988,-0.148,9.5180006,0.9953392608472563,0.9954069071396778
1669243043.0504,-0.0271399,0.01309,-0.0040143,1.7420001,0.174,9.5240002,0.9844636094018359,0.9648954728396609
1669243043.0604,-0.0335976,0.0126536,-0.0045379,1.388,-0.174,9.5680008,0.9708708253621162,0.9491478008795244
1669243043.0704,-0.0324631,0.0094248,-0.003927,1.6660001,0.162,10.0360003,0.9778614890244677,0.879594987044981
1669243043.0806,-0.0354302,0.0084648,-0.0031416,1.9080001,0.042,9.8940001,0.9945626193440538,0.9967191748604455
1669243043.0904,-0.0350811,0.0027925,-0.002618,2.006,0.178,9.526,0.9708703802953522,0.9780186585701474
1669243043.1004,-0.0430224,-0.0038397,-0.0018326,1.8960001,-0.01,9.5060005,0.9634907282812534,0.9511162926824651
1669243043.1105,-0.0477348,-0.0092502,-0.0007854,1.6900001,-0.004,9.7020006,0.9596070756984764,0.9973753825386565
1669243043.1204,-0.0481711,-0.0133518,-0.0020071,1.5760001,0.088,9.9180002,0.97436593465991,0.9694886969316763
1669243043.1304,-0.0462512,-0.0137881,-0.0015708,1.6760001,0.026,10.0680008,0.9914551631977153,0.9691604536588968
1669243043.1404,-0.03831,-0.0163188,-0.0017453,1.6600001,0.05,9.9960003,0.9766963042362817,0.989501382518972
1669243043.1505,-0.0411898,-0.0206822,-0.0019199,1.8980001,0.118,9.9240007,0.9669858375790471,0.9616146641040683
1669243043.1604,-0.0397935,-0.0210312,0.0010472,1.7620001,0.196,9.7140007,0.9914547181309513,0.9560373827561416
1669243043.1704,-0.039619,-0.0241728,0.0017453,1.8980001,-0.08,9.6640005,0.9836874129653972,0.9950787786946299
1669243043.1805,-0.0338594,-0.0228638,0.0010472,1.5960001,-0.066,9.4160004,0.9654329996394059,0.9074816398440382
1669243043.1905,-0.0229511,-0.0266163,0.0029671,1.71,-0.264,9.6360006,0.9766967493030457,0.9127309075746481
1669243043.2004,-0.0169297,-0.0259181,0.0016581,1.6380001,-0.18,9.8500004,0.964267369784456,0.9904857186422308
1669243043.2104,-0.0136136,-0.0270526,0.0029671,1.876,-0.188,9.9200001,0.996116347417223,0.9481635467760738
1669243043.2204,-0.0152716,-0.0229511,0.002618,1.5580001,0.096,9.6500006,0.9875710655481743,0.8884531591483087
1669243043.2304,-0.0177151,-0.0260054,0.0043633,1.664,-0.052,9.9900007,0.9677633692157778,0.9340560741342127
1669243043.2404,-0.01213,-0.0176278,0.0042761,1.6980001,-0.242,9.776,0.937468564722944,0.9983597022579541
1669243043.2505,-0.0064577,-0.0133518,0.0006981,1.6580001,-0.164,9.5500002,0.9397989342993159,0.9435704047038663
1669243043.2604,0.0012217,-0.0113446,0.0016581,1.6880001,-0.202,9.8060007,0.9720355650835382,0.9468510822077659
1669243043.2704,0.005236,-0.0084648,0.0041888,1.8840001,0.126,10.2360001,0.9836874129653972,0.9097783093039113
1669243043.2804,-0.0017453,-0.0056723,0.0009599,1.8240001,-0.12,9.7940006,0.9576648043403239,0.9166679567963754
1669243043.2904,0.0020071,-0.0033161,0.003927,1.5600001,-0.266,10.0040007,0.996115902350459,0.9849083388705347
1669243043.3004,0.0103847,0.0012217,0.0010472,1.4220001,0.012,9.8760004,0.9848525977535831,0.9146993501657035
1669243043.3104,0.0231256,0.005236,0.0018326,1.7320001,-0.352,9.8220005,0.9219326191915439,0.9022323721134284
1669243043.3204,0.0239983,0.013439,0.001309,1.7040001,0.068,9.2980003,0.9619374452748483,0.8628628477298921
1669243043.3305,0.0249582,0.0185005,0.0004363,1.8200001,-0.256,9.5140009,0.977084847521265,0.9146993009538186
1669243043.3405,0.0238237,0.0236492,0.0042761,1.5920001,-0.072,9.8900003,0.9650444563544227,0.994094475379294
1669243043.3504,0.018326,0.0285361,0.0020944,1.728,-0.492,9.7840004,0.9875715106149383,0.9261821725382977
1669243043.3604,0.0028798,0.0324631,0.0042761,1.6700001,-0.102,9.8860006,0.9584418909102905,0.9432423418746649
1669243043.3704,-0.0033161,0.0377864,0.0017453,1.6620001,-0.164,9.6740007,0.9856296843235498,0.9740817569840753
1669243043.3804,-0.0025307,0.0417134,0.0041888,1.7240001,-0.062,9.2540007,0.9751425761631126,0.9245417763724821
1669243043.3904,-0.0044506,0.0440696,0.0027925,1.7320001,0.074,8.9860001,0.9871829673299549,0.9593180766640028
1669243043.4005,-0.0068068,0.0496546,0.0047124,1.7300001,-0.006,8.9640007,0.9561115213339186,0.9849084536982663
1669243043.4105,-0.0074176,0.0531453,0.003927,1.6660001,0.02,9.0300007,0.9852411410385664,0.997375366134695
1669243043.4204,-0.0034907,0.0544543,0.0058469,1.71,0.04,8.9900007,0.9968934339871895,0.9960630656060042
1669243043.4304,-0.0054978,0.0576831,0.0044506,1.5480001,-0.146,9.1060009,0.9829112165289586,0.9901575737932213
1669243043.4404,-0.0033161,0.0575959,0.0034034,1.7820001,0.012,9.3800001,0.9852411410385664,0.9386493146301895
1669243043.4504,-0.0021817,0.0587303,0.0073304,1.8220001,-0.048,8.9220009,0.9825222281772114,0.9373369976975372
1669243043.4604,0.0053233,0.0558505,0.0048869,1.7640001,0.178,8.7200003,0.9902899784095294,0.978674751420627
1669243043.4704,0.0034907,0.0580322,0.0061959,1.8040001,-0.154,8.9020004,0.9926203479859013,0.9675201395128894
1669243043.4805,0.0120428,0.0601266,0.0042761,1.5640001,-0.042,9.066,0.9611603587048816,0.96916048646682
1669243043.4904,0.018326,0.0628318,0.0057596,1.6060001,-0.042,9.3120003,0.9533930535393276,0.9527565412126258
1669243043.5004,0.0240855,0.0618719,0.0056723,1.4960001,0.1,9.2200003,0.9790271188794175,0.9763782952122555
1669243043.5105,0.029147,0.0613483,0.0047124,1.9660001,0.012,9.3560009,0.9840755111836166,0.9150273801869815
1669243043.5204,0.0332485,0.0658862,0.0079412,1.6520001,-0.21,8.7660007,0.9471785863134147,0.8841879978854945
1669243043.5304,0.0354302,0.0555887,0.0060214,1.5920001,-0.192,8.4540005,0.9553348798307161,0.9360245167252681
1669243043.5404,0.0342957,0.0541052,0.0057596,1.626,-0.138,8.9400005,0.987182967329955,0.9235575550769544
1669243043.5505,0.0367392,0.0554142,0.0059341,1.6840001,-0.006,8.8300009,0.9825222281772114,0.9698167925688013
1669243043.5604,0.034383,0.0498292,0.0074176,1.562,0.164,8.9060001,0.9712589235803355,0.9816277105785204
1669243043.5704,0.0347321,0.0480838,0.0057596,1.7260001,0.092,9.1520004,0.9864063258267525,0.9445545439795855
1669243043.5805,0.0315905,0.0445932,0.0075922,1.8200001,-0.03,9.0780001,0.9786385755944342,0.9931102868916892
1669243043.5905,0.0327249,0.0416261,0.0054978,1.664,0.036,8.7920008,0.9825217831104474,0.9284788255942095
1669243043.6004,0.031765,0.0356047,0.0061087,1.784,0.0,8.7360001,0.9716474668653189,0.9954070055634477
1669243043.6104,0.0287979,0.0328122,0.0062832,1.6160001,0.0,8.5940008,0.9751425761631126,0.9491478500914095
1669243043.6205,0.0248709,0.0246091,0.0048869,1.7300001,0.046,8.9820004,0.9397984892325518,0.9101063557291512
1669243043.6305,0.0194604,0.0233874,0.0047124,1.6140001,0.056,8.9180002,0.9697056405739303,0.972113232373211
1669243043.6404,0.0209439,0.0194604,0.0028798,1.5880001,-0.012,8.8120003,0.9809685001040421,0.9711290438856072
1669243043.6504,0.0190241,0.0164934,0.0053233,1.7360001,0.16,9.2320004,0.9891256837548714,0.8825476181236407
1669243043.6607,0.0158825,0.0148353,0.0047997,1.6960001,0.162,9.04,0.9763077609512985,0.9622708225703941
1669243043.6704,0.0109956,0.0089012,0.0045379,1.6140001,0.06,9.1900005,0.9506741406779724,0.9944227350560355
